RBD;NOM_RBD
767;COLEGIO PARTICULAR GABRIELA MISTRAL
768;COLEGIO LA PROVIDENCIA
769;COLEGIO SAN VIATOR
771;ESCUELA PARTICULAR EL ARRAYAN
772;LICEO AGRICOLA DE OVALLE TADEO PERRY BARN
773;ESCUELA SAMO ALTO
774;COLEGIO PICHASCA
775;ESCUELA BASICA DE FUNDINA
776;ES.BAS.SAN PEDRO DE RIO HURTADO
777;ESC.BASICA HIJOS DE EL CHANAR
778;ESCUELA BASICA LAS BREAS
780;ESCUELA BASICA TABAQUEROS
783;ESCUELA DOCTOR JOSE LUIS ARRANO
784;ESCUELA BASICA HUAMPULLA
785;ESCUELA BASICA LOS MAITENES DE SAMO ALTO
786;ESCUELA BASICA LA HUERTA
787;ESCUELA BASICA MORRILLOS
788;ESCUELA BASICA VADO DE MORRILLOS
789;ESCUELA EL ESPINAL DE RIO HURTADO
790;ESCUELA BASICA EL ROMERAL
792;ESCUELA BASICA ESTANCIA EL SAUCE
793;ESCUELA BASICA DE SERON
795;ESC.BASICA DOMINGO SANTA MARIA GONZALEZ
797;ESCUELA LOS MAITENES DE SERON
798;ESCUELA EL PALQUI
799;COLEGIO REPUBLICA DE CHILE
800;ESCUELA HUATULAME
802;LICEO PRESIDENTE EDUARDO FREI MONTALVA
803;ESC.CONCENTRACION FRONTERIZA DE TULAHUEN
804;ESCUELA BASICA WENCESLAO VARGAS
805;ESCUELA EL MAQUI
806;ESCUELA FRONTERA LAS RAMADAS
807;ESCUELA EL MAITEN
809;ESCUELA DE HUANILLA
810;ESCUELA CENTRAL HIDROELECTRICA LOS MOLLE
812;ESCUELA SOL DE LAS PRADERAS
813;ESCUELA BASICA LA UNION
814;ESCUELA BASICA EL TAYAN
816;ESCUELA GUSTAVO CONTRERAS CASTRO
817;ESCUELA NUEVA ESPERANZA DE PEJERREYES
818;ESCUELA LOS CLONQUIS
819;ESCUELA BUENAVENTURA
820;ESCUELA SOL DEL CUYANO
821;ESCUELA DE FLOR DEL VALLE
822;ESCUELA JUNTAS
823;ESCUELA BASICA COLLIGUAY
824;ESCUELA HEROES DE CHILE
825;ESCUELA BASICA PABLO NERUDA
826;ESCUELA BASICA HACIENDA VALDIVIA
827;COLEGIO RIO GRANDE
830;ESCUELA MARCELA PAZ
833;ESCUELA SANTA BERNARDITA
835;ESCUELA CARMELA PRAT
836;ESCUELA INES DE SUAREZ
837;ESCUELA ESPERANZA DE HUANA
838;ESCUELA PROFESOR MANUEL ORTIZ QUINTANA
839;ESCUELA CHILECITO
843;ESCUELA LOS PERALES DE CAMPANARIO
844;ESCUELA PARTICULAR CERRILLOS DE RAPEL
845;LICEO SAMUEL ROMAN ROJAS
847;ESCUELA BASICA AMERICA
848;ESCUELA ALEJANDRO CHELEN ROJAS
849;ESCUELA BASICA JUANITA FERNANDEZ SOLAR
850;ESCUELA JUAN LUIS SAN FUENTES
851;ESCUELA BASICA ARTURO PEREZ CANTO
852;ESCUELA BASICA PEDRO DE VALDIVIA
857;ESCUELA LOS MORALES
859;ESCUELA REBECA MATTE DE INIGUEZ
862;ESCUELA ESTRELLA DE BELEN
864;ESCUELA BASICA VIOLETA PARRA SANDOVAL
865;ESCUELA BASICA DANIEL BARROS GREZ
868;ESCUELA AMERICA DE SUR
869;ESCUELA BASICA REBECA PONCE DE LEON V.
870;ESCUELA BASICA CAMILO HENRIQUEZ GONZALEZ
871;ESCUELA BASICA LUIS ENRIQUE BOU PEREZ
872;ESCUELA BASICA ROSITA OHIGGINS
874;ESCUELA BASICA LAURITA VICUNA
875;ESCUELA BASICA PEDRO LIRA RENCORET
876;ESCUELA BASICA CLAUDIO MATTE
879;ESCUELA BASICA BENJAMIN VICUNA MACKENNA
883;ESCUELA BASICA SAN LUIS AMIGO Y FERRER
884;ESCUELA BASICA JUAN FRANCISCO GONZALEZ
